Well	SampleType	Sample	CT
C4	Test	Cas9	7.841951845
C5	Test	Cas9	9.773009925
C6	Test	Cas9	7.676906944
A4	Test	OX40	15.61578656
A5	Test	OX40	15.77841587
A6	Test	OX40	15.77514125
A1	STN	STN1	4.698922085
A2	STN	STN1	4.655542516
A3	STN	STN1	4.544617472
B1	STN	STN2	7.828381325
B2	STN	STN2	7.56709321
B3	STN	STN2	7.634510582
C2	STN	STN3	12.93224761
C3	STN	STN3	12.19379384
D1	STN	STN4	15.95470781
D2	STN	STN4	15.57466923
D3	STN	STN4	15.71311553
E1	STN	STN5	18.65832303
E2	STN	STN5	18.62353002
E3	STN	STN5	18.62736182
F1	STN	STN6	21.38799623
F2	STN	STN6	22.17597689
F3	STN	STN6	22.08088911
G1	STN	STN7	25.59567869
G2	STN	STN7	25.75432233
G3	STN	STN7	25.73700478
B4	Test	Wasabi	20.10596433
B5	Test	Wasabi	20.38139999
B6	Test	Wasabi	20.28654368
